Years,Life Expectancy
1960,68.300
1961,68.764
1962,69.146
1963,69.458
1964,69.708
1965,69.906
1966,70.057
1967,70.161
1968,70.223
1969,70.248
1970,70.235
1971,70.183
1972,70.091
1973,69.963
1974,69.809
1975,69.635
1976,69.446
1977,69.253
1978,69.071
1979,68.915
1980,68.818
1981,68.811
1982,68.901
1983,69.077
1984,69.317
1985,69.575
1986,69.791
1987,70.495
1988,70.498
1989,70.520
1990,70.098
1991,69.298
1992,68.771
1993,68.131
1994,67.541
1995,66.742
1996,67.022
1997,67.576
1998,68.375
1999,67.981
2000,67.676
2001,67.837
2002,68.276
2003,68.211
2004,68.185
2005,67.957
2006,68.078
2007,68.222
2008,68.251
2009,69.190
2010,70.265
2011,70.809
2012,70.944
2013,71.160
2014,71.187
2015,71.190
2016,71.476
2017,71.781
2018,71.583
2019,71.827
2020,72.023